,tweets_original,tweets_translater_unicamp,tweets_translater_face,polaridade
6216,#MasterChefBR Hj tem  na previa❤👋👋,#MasterChefBR Hj tem na previa❤,#MasterChefBR Hj has in advance,1
6217,O bolo da Taíse tá muito bonito. #MasterChefBR,The Taíse cake is very beautiful. #MasterChef,The Thai cake is very nice. #MasterChefBR,1
6218,#TheNoite com  aí assim !!!,TheNoite with then this !!!,The night is like that!!!,1
6219,Os caras estão comendo sem camisa?! #MasterChefBR,The guys are eating without a shirt? #MasterChe,Are men eating without shirt? #MasterChefBR,0
6220,#TheNoite virou uma praçaaa sobdkdn,#TheNoite has become a square aa sobdkd,#TheNoite has become a placeaa sobdkdn,0
6221,essa miriam do masterchef é própria definição de ser humano insuportável q não sabe conviver em grupo #MasterChefBR,This laugh of the masterchef is the very definition of unbe,This miriam of the masterchef is its own definition of unbearable human being q does not know how to live in group #MasterChefBR,-1
6222,"Drauzio Varella chamou o Pcc de Partido no #conversacombial:
""isso não pode que o partido não deixa...""",Drauzio Varella called the Pcc Party Party in #conversacombial,Drauzio Varella called the Party’s PCC in the #conversacombial: “This can’t let the party not leave...”,-1
6223,"""bem cai fora"" EU VENERO AS IRMAS GALVAO #Encontro",I VENER THE IRMAS GALVAO #Control,"I’m going to get out, I’m going to get out, I’m going to get out, I’m going to get out, I’m going to get out.",-1
6224,"#Encontro Marcos estou rindo até agora,muito bom#Encontro#MarcoseBelutti","I am laughing so far, very good#Meeting#Mar","#Meet Marcus I'm laughing so far, very good#Meet Marcus Belutti",1
6225,Nossa Leonardo cala boca aaaaaa #MasterChefBR,Our Leonardo cala boca aaaaaaa #MasterChefBR,Our Leonardo cries mouth aaaaaa #MasterChefBR,-1
6226,É o Tchan 😒 #AltasHoras,It is the Tchan  #TimeHours,It is the Tchan  #AltasHoras,-1
6227,Adoro gente fora do padrão na TV #ConversaComBial,I love people outside the standard on TV #ConversaCom,I love people out of the standard on TV #ConversaComBial,1
6228,"Ai, Fernando, eu quero te defender, mas tu num colabora #MasterChefBR","Ai, Fernando, I want to defend you, but you don’","Ai, Fernando, I want to defend you, but you in a collaboration #MasterChefBR",0
6229,Sardinha de lata na torrada e pans! Tá pronto! #MasterChefBR,"It's ready! #MasterChefBR""",Sardinia on the torrents and pans! is ready! #MasterChefBR,0
6230,"Não to preparado para ver a Equipe azul na prova de eliminação. Eles não podem perder 😓
#MasterChefBR",They cannot lose  #MasterChefBR,Not to ready to see the blue team in the elimination test. They cannot lose  #MasterChefBR,-1
6231,Nando Reis 😍😍😍😍 #Encontro,Nando Reis  #Encontrol,Nando Reyes 😍😍😍 #Meeting,1
6232,"Falar de africa, falar de amor é com ele  #EDeCasa","Speak about africa, talk about love is with him","Talking about Africa, talking about love is with him #EDeCasa",1
6233,"Tô com muito sono, mas não posso dormir pq hoje tem #MasterChefBR","I'm sleeping a lot, but I can't s""","I have a lot of sleep, but I can't sleep pq today has #MasterChefBR",1
6234,Douglas usou umas drogas e foi cozinhar essa torta doce com bacuri 🤦🏼‍♀️ #MasterchefBR,Douglas used some drugs and cooked this swe,Douglas used some drugs and went cooking this sweet cake with bacuri 🏻 ♀️ #MasterchefBR,0
6235,Foi rápido mais valeu a pena ❤ #VideoShowAoVivo,It was fast but worth the slack ❤ #Vide,It was fast more worth it ❤ #VideoShowAoVivo,1
6236,"#MaisVocê
 e o  é a dupla perfeita sou fã.
Mim acabando de rir com eles 😂😂😂👏👏👏
Obrigada.",I am just laughing with them  Thank you.,You are the perfect double I am a fan. I just laughed with them 😂😂😂😂😂,1
6237,"Teve um referendo, O POVO ESCOLHEU TER POSSE DE ARMA, e o PT foi la e ignorou :)
#TheNoite","#TheNoite had a vote, O POVO ESCOLH","It had a referendum, the people chose to possess weapons, and the PT was la and ignored :) #TheNoite",0
6238,A Gente daria para o Charlie Hunnam? #Thenoite,#The night night would the girl give to Charlie Hunnam,Would People Give to Charlie Hunnam?,0
6239,"#VideoShowAoVivo Aghata péssima atriz e chata pra cacete,mas nasceu com rego virado pra lua,né?","He was born with a rego turned to the moon, right","It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do, it’s a good thing to do.",-1
6240,Não entendo essas mesas e sofás desconfortáveis em programas de entrevista? #ConversaComBial,#ConversationCombined,Do I not understand these uncomfortable tables and sofas in interview programs? #ConversaComBial,-1
6241,#MasterChefBR nem começou e já vou torcer pra #EquipeAzul por motivos de Mirian que tá na equipe vermelha!,"I'm already torching for #EquipeAzul for Mi""",#MasterChefBR hasn't started and I'm going to go to #Blue Team for reasons Mirian is in the red team!,1
6242,a sobremesa do Pará não é limitada não. Muita sobremesa gostosa e que foge do chocolate #MasterChefBR,Much nice snack and that is not chocolate-containing #,The Pará dessert is not limited no. A lot of delicious dessert and that escapes from chocolate #MasterChefBR,0
6243, na prévia e eu não sabia 😱 #MasterchefBR,#MasterchefBR,"I did not know, I did not know, I did not know, I did not know, I did not know, I did not know, I did not know, I did not know, I did not know.",0
6244,Algum prato foi pior do que o do Vitor B? Diz que sim #MasterChefBR,Says yes #MasterChefBR,Any dish was worse than Vitor B? says yes #MasterChefBR,0
6245," 
 
João meu lindoooo😍😍
#Encontro",João my lindoooo #Encontrol,"I am a friend, I am a friend.",1
6246,#MasterChefBR #EquipeAzul entrada linda,#MasterChefBR #EquipeAzul entrada linda #Master,#MasterChefBR #TeamBlue Introduction,1
6247,"Ana Luiza é uma pintura de linda, gente 
#MasterChefBR","Ana Luiza is a beautiful painting, people #Master",Ana Luiza is a painting of beautiful people #MasterChefBR,1
6248,Hoje tem #MasterChefBR &lt;3,Today there is #MasterChefBR &lt;3 #MasterChef,Today we have #MasterChefBR &lt;3,1
6249,É por isso que as terças eu assisto meu #masterchefbr e não o #PowerCoupleBrasil,That is why on Tuesdays I watch my #masterchefbr,That's why the third I watch my #masterchefbr and not #PowerCoupleBrasil,1
6250,Muita sacanagem essa prova de eliminação ahahahahahha #MasterchefBR,This elimination test is very saccaded ahahahahahaha,This proof of elimination ahahahahahha #MasterchefBR,-1
6251,#VideoShowAoVivo Alguém pergunta pra Fátima qual a sensação de tirar a TV GLOBINHO? ?,Someone asks to Fátima what is the sensation of taking the TV G,There’s some people who ask Fatima how it feels to take the TV GLOBINHO?,0
6252,"#MaisVocê namaria,o q fizeram com vc mulher?","#How do you nate, what did you do with your woman",What did you do with a woman? - What did you do with a woman?,0
6253,PASSEM O CLIPE LOGO 😭😭 #DomingoLegal, #DomingoLegal,Go to the LOGO CLIP #DomingoLegal,-1
6254,"estou chocado, abalado e puto com o episódio de ontem do #MasterChefBR","I am shocked, shaken and puzzled by the episode of","I'm shocked, shocked and pudded with yesterday's #MasterChefBR episode",-1
6255,Já Já começa o #TheNoite e o sinal do SBT Central em Araraquara ta caindo toda hora 😓 Alô ,TheNoite and the signal of the Central SBT in Araraquara is fal,It’s already beginning the #TheNoite and the signal of the SBT Central in Araraquara ta falling every hour.,-1
6256,Olha esse #TheNoite kkkkkk,Look at this #TheNoite kkkkkk,See this #TheNoite kkkkkk,0
6257,Aqui em PE o nosso sacolé se chama Dudu 😂 #VideoShowAoVivo,Here in PE our bag is called Dudu  #Video,Here in PE our bag is called Dudu 😂 #VideoShowAoVivo,0
6258,quero um moletom igual do Fogaça #masterchefbr,I want a moletom equal to the Fogaça #masterchefbr,I want an equal moletom to the Fugaça #masterchefbr,0
6259,Agora vai ter gente fazer bike trial em casa e se estropiando #MaisVocê,Now there will be people doing bike trial at home and,Now there will be people doing bike trial at home and ruining themselves #MaisVê,0
6260,Tava esperando ansiosamente a semana toda kk 💙#MasterChefBR,I waited anxiously the whole week kk ,I was hopefully waiting for the week all kk 👍#MasterChefBR,1
6261,"Esse  é mt gato, sangue de Jesus tem poder #DomingoLegal","This is a cat, Jesus' blood has power #DomingoLe""","This is mt cat, Jesus’ blood has power #DomingoLegal",1
6262,Sempre q toca ´Evidências´ eu canto junto e alto!! #Encontro,Whenever q it plays Evidences I sing together,"I'm always singing, I'm always singing, I'm always singing!!",0
6263," de salsicha CUT no castigo do mestre mandou no   k k k
#TheNoite #MestreMandou",TheNoite #MestreMandou salsicha CUT in the punishment of the,"I think it’s a good thing to do, but it’s a good thing to do, it’s a good thing to do.",0
6264,Já no aguardo do #masterchefbr,I am still in the waiting for #masterchefbr I a,I'm looking forward to #masterchefbr,0
6265,Sim... Estou assistindo #MasterChefBR com quase 24hr de atraso e meu primeiro infarto é a classe da  passeando pelo mercado!,I am watching #MasterChefBR almost 24 hours,Yes... I’m watching #MasterChefBR with almost 24hr delay and my first heart attack is the class of walking through the market!,0
6266,"Alguém me dize que  e  estão na final logo. Ai, meu coração não aguenta essas tretas não, rs. #MasterChefBR","Then, my heart cannot hold these slaps no,","Someone tells me that and they’re in the end soon. Oh my heart doesn’t tolerate these thresholds no, rs. #MasterChefBR",-1
6267,Deveria ter pratos mais práticos #edecasa,It should have more practical dishes #home house #,It should have more practical dishes #edecasa,0
6268,Musa da seleção 😍 ❤#FatimaBernardesNoVideoShow #VideoShowAoVivo,The selection Musa  ❤#FatimaBernardesNoVide,This is the first time I’m going to get to know what I’m doing.,1
6269,Hoje é dia de #MasterChefBR,Today is day of #MasterChefBR,Today is the day of #MasterChefBR,0
6270,"ASSISTINDO MAIS VOCE
#MaisVoce",MORE VOCE #MoreVoice,Read more about #MaisVoce,0
6271,Que coisa mais linda  Emocionante! Show! Parabéns para todos os herois #encontro ,Congratulations to all heroes #meeting between the,What the most beautiful thing Emotional! Show! Congratulations to all the heroes #touch,1
6272,"As pessoas confundem SOTAQUE com falar errado, falar gíria etc... nada a ver... termos e expressões regionais é diferente! #VideoShowAoVivo","People confuse SOTAQUE with wrong speaking, speaking","People confuse CONTACT with talking wrong, talking giria etc... nothing to see... regional terms and expressions are different! #VideoShowAoVivo",0
6273,Germana é a melhor coisa de 2017 na TV. Tem que ganhar algum prêmio a Viviane Pasmanter #VideoShowAoVivo,It has to receive some prize to Viviane Pasmanter #Vide,Germany is the best thing of 2017 on TV. You have to win some prize to Viviane Pasmanter #VideoShowAoVivo,1
6274,"graças ao Globo Play pude ver a linda Sophia Abrahão no #VideoShowAoVivo , me alegro com ela, mas a reportagem do funkeiro foi chata","I relax with her, but the funkeiro report was astonish","Thanks to the Globo Play I was able to see the beautiful Sophia Abraham on #VideoShowAoVivo, I'm glad with her, but the funkeir's report was boring",1
6275,Uruguai e Paraguai tem armas liberadas e Brasil não;  Adivinha onde tem mais mortes por armas de fogo ??  #TheNoite,You guess where there are more deaths by firear,Uruguay and Paraguay have released weapons and Brazil does not; wonder where there are more deaths from firearms?? #TheNoite,0
6276,"PQP, já começou #ConversaComBial com meu ídolo Santoro e ninguém me avisa... 😤","PQP, it has already begun #ConversationCombinial","PQP, I’ve already started #ConversaComBial with my idol Santoro and no one warns me...",-1
6277,"Catra cantando ""ciúme"" com Ultraje #thenoite 😂👏🏻👏🏻","Sweet ""ciume"" with Ultraje #thenoite ",Catra singing “ciume” with Ultraje #thenoite 😂😂😂😂😂,1
6278,Que susto!  Leo Lins de Vera Verão no #TheNoite,Leo Lins de Vera Verão in #TheNoite,Leo Lins of Vera Summer at #TheNoite,0
6279,O inglês da  é perfeito demais! #DomingoLegal,#DomingoLegal,The English is too perfect! #DomingoLegal,1
6280,eu acho yuko muito ousada pq olha.. ela mete tempero sem dó #MasterChefBR,She takes season without doubt #MasterChefBR,I think yuko very brave pq look.. she mete tempero without do #MasterChefBR,0
6281,tô tão triste de não estar acompanhando essa temporada de #MasterChefBR 😭,"I'm so sad not to be following this season""",I'm so sad that I'm not following this #MasterChefBR season.,-1
6282,Celso já deu spoiler que essa semana tem estreia de clipe novo com a Dulce e Teresa 😍 #CarinhaDeAnjo #SBT #DomingoLegal,Celso has already given spoiler that this week ha,"It’s a good idea for you to be able to do it, but it’s a good idea for you to do it.",1
6283,#MasterChefBR se eu pudesse provar os pratos,I could taste the dish I could taste the dish I could,#MasterChefBR if I could try the dishes,0
6284, Tá nada! Super cool! #MaisVoce,"It's nothing! Super cool! #ByYour voice""",It’s super cool! #MaisVoce,1
6285,"#VideoShowAoVivo  Fatima Bernardes minha musa inspiradora, minha diva, amo tudo que você faz💝💝","My inspirating muse, my daugh, I love everything","#VideoShowAoLive Fatima Bernardes my inspiring musa, my diva, I love everything you do",1
6286,Noiva maléfica KKKKKKKKKKKKKKKK #VideoShowAoVivo,The illness in the maleful wrapping KKKKKKK,The wicked bride KKKKKKKKKKKK #VideoShowAoVivo,-1
6287,Comentários um pouco atrasado pq tô assistindo no YouTube o ep de ontem #MasterChefBR,"Comments a little late if I'm watching on YouTube the""",Comments a bit delayed pq to watch on YouTube yesterday's ep #MasterChefBR,0
6288,"Bela Gil dançando ""rala ralando o Tchan"" foi o melhor que vi hoje. Já posso dormir. #AltasHoras",I can already sleep. #AltasHours,"Bela Gil dancing ""Rala ralling the Tchan"" was the best I saw today.",1
6289,#AltasHoras   bora que tem pra hoje ..,We have to do today ..,It’s a good time for you today.,0
6290,"queria  sentadas aqui no sofá de casa conversando cmg mas enquanto isso vamos vendo a #ConversaComBial
#MaiaraeMaraisaNoBial",We wanted to sit here on the housefare talking cmg,I wanted to sit here on the home sofa talking cmg but while that we’re seeing the #ConversaComBial #MaiaraeMaraisaNoBial,-1
6291,Começou o melhor programa  #thenoite,The best program #the night started the best program #the night star,The best #thenoite program has begun,1
6292,#VideoShowAoVivo Léo Regis cantando Luan Santana ninguém merece 😂,"They are able to live with their life, and they a",I'm not sure if I'm going to get a lot of money and I'm going to get a lot of money.,-1
6293,O homem no #Encontro dizendo que homem não tem q lavar vasilha. Que horror esse machismo Jesus amado!!!!!!!,What a horror this sexism Jesus Loved!!!!!!!,The man in the #Meeting saying that man has no q washing the vasilla. what horror this machism Jesus beloved!!!!!!!,-1
6294,Acho fofinho o Fernando.. ele não bota a menor fé no que ele faz o bichinho!  Hahahaha #MasterChefBR,Hahahaha #MasterChefBR,I think it's fofin to Fernando.. he doesn't throw the least faith in what he does the bitch! #Hahahaha #MasterChefBR,0
6295,#MasterChefBR vai começar,#MasterChefBR will start #MasterChefBR will sta,#MasterChefBR will begin,0
6296,Ainda sem acreditar nas reviravoltas do #MasterChefBR.,Still not believing in the revolutions of #MasterChefBR,I still don’t believe in the reverses of #MasterChefBR.,0
6297,Tem Amazônia Ilegal? Ou Amazônia Chata? #MasterChefBR,Has the Ilegal Amazon? Or the Chata Amazon? #MasterChef,Do you have illegal Amazon or Amazon? #MasterChefBR,0
6298,Esses caras do #TheNoite são foda 😂😂😂😂😂😂😂😂😂😂😂😂,These guys of #TheNoite are food ,These guys of #TheNoite are foda 😂😂😂😂😂😂😂,1
6299,Mr Catra dando um show no The Noite ! Falando da política no país 👏 #TheNoite  ,"Talking about the country's policy  #TheNoite """,Mr. Catra giving a show at The Night! talking about politics in the country 👍 #TheNoite,1
6300,Olá  gostaria da participação do Fiuk no #AltasHoras. Obrigada!,"Hello, I would like to have Fiuk's participation in""",Hello I would like to participate in Fiuk on #AltasHoras.,0
6301,"Que maravilha kkkkkkkkkkkkkkkk
#TheNoite",TheNoite,What a wonderful kkkkkkkkkkkkk #TheNoite,1
6302,Galera do sul/sudeste ficam com desespero quando a prova é sobre culinária regional do norte do Brasil hahaha #MasterChefBR,Galera do sul/southeast are desperate when the test,South/South gallery gets disappointed when the test is about northern Brazilian regional cuisine hahaha #MasterChefBR,0
6303,quem lembra de como o  era birrento no #masterchefbr? deu até saudade! 😹,I missed it! ,Who remembers how it was a birrent at #masterchefbr?,1
6304,"Léo e Miriam no mesmo time, já torcendo pra terem ZERO votos! #MasterChefBr",#MasterChefBr,"Leo and Miriam in the same team, already turning to have zero votes! #MasterChefBr",-1
6305,tô muito triste que o vitor foi eliminado 💔#MasterChefBR,I am very sad that the vitor was eliminated #Ma,I am very sad that the window has been removed #MasterChefBR,-1
6306,"Hoje tem #MasterChefBR, #NBA e #LibertadoresFOXSports, como decidir o que ver?","Today there are #MasterChefBR, #NBA and #Libertadores","Today you have #MasterChefBR, #NBA and #LibertadoresFOXSports, how do you decide what to see?",0
6307,O filho do Serginho é MUITO fofo 😍😍😍 #altashoras,The Son of Serginho is A lot of phofo  #high,The son of Serginho is very fool 😍😍😍 #altashoras,1
6308,Atenta à essa entrevista com o Augusto #ConversaComBial #Ansiedade,Attentive to this interview with Augusto #ConversaComBial #An,Watch this interview with August #ConversaComBial #Ansiedade,0
6309,Oi #MasterChefBR CHEGUEI E ESTOU COM FOME,Hi #MasterChefBR CHEGUEI AND HAS ADOPTED,Oh #MasterChefBR I’ve come and I’m hungry,0
6310,Aguardando ansiosamente o dia da saída da Miriam do #MasterChefBR . Foi por pouco dessa vez!,It was a little this time!,I'm looking forward to the day of Miriam's #MasterChefBR leaving.,0
6311, OLA COLOQUE UM VIDEO DE RAUL SEIXAS CANTANDO MALUCO BELEZA #VideoShowAoVivo,A VIDEO DE RAUL SEIXAS CANTANDO MALUC,Previous articleOla Collects a Video of Raul Sixes Singing Bad Beauty #VideoShowAoVivo,0
6312,Você vai fazer uma campanha de adoção e simplesmente o   faz uma pauta maravilhosa sobre o tema  tô chorando 😍😍 #Encontro,You are going to do an adoption campaign and simply,You’re going to make an adoption campaign and just do it a wonderful pattern on the theme I’m crying 😍😍 #Meet,1
6313,"Programa dedicado às mães e a música de abertura é 
SEGURE O TCHAN AMARRE O TCHAN 🎵 #altashoras",The TCHAN AMARRE TCHAN  #high-hours,The program dedicated to mothers and opening music is SIGURE THE TCHAN LOVE THE TCHAN #altashoras,0
6314," amo assistir #EDeCasa todo final de semana,aprendo muitas coisas.","I love to watch #EDeCasa every weekend,I","I love to watch #EDeCasa every weekend, I learn a lot of things.",0
6315,Gente que graça esse filho do Groisman s2 #papapaparalizou #tchan #AltasHoras,People who grace this son of Groisman s2 #pa,People who enjoy this son of Groisman s2 #papapaparalized #tchan #AltasHoras,1
6316,"Consolidados - GLOBO (15/05):

#BDSP 10.0
#BomDiaBrasil 10.8
#MaisVocê 8.6
#BemEstar 7.0
#Encontro 8.1
#SP1 13.7
#GloboEsporte 11.8",BDSP 10.0 #BomDiaBrasil 10.8 #MaisVocê 8,Consolidated - GLOBO (15/05): #BDSP 10.0 #BomDiaBrazil 10.8 #MaisYou 8.6 #BemEstar 7.0 #Enter 8.1 #SP1 13.7 #GloboSport 11.8,0
6317,#MasterChefBR a coisa tá esquentando,The thing is squeezing #MasterChefBR the th,#MasterChefBR the thing is shaking,0
6318,"Quem tá na cozinha hoje sou eu. Baixou o esprito de #MasterChefBR .
Vou me superar!",The squit of #MasterChefBR has been reduced,Who's in the kitchen today is me. I've dropped the mind of #MasterChefBR. I'm going to overcome myself!,0
6319,"Fátima falando ""carioquêix""… #VídeoShowAoVivo",#PlayPlayPlayPlayPlayExperience,"It’s a good thing to do, but it’s a good thing to do.",0
6320,Vai começaaaaar #MasterChefBr,You will start aaaar #MasterChefBr,It will start #MasterChefBr,0
6321,Eu faria a Sheilla Mello ali em cima agora hahaha #AltasHoras,I would do Sheilla Mello there above now hahaha #,I would make Sheilla Mello there up now hahaha #AltasHoras,0
6322," Ih! eu tbm, mas hoje eu já tirei um bom cochilo à tarde para assistir a sua #ConversaComBial na madruga...😆","Ih! I tbm, but today I had a good na","I'm tbm, but today I've already taken a good snake in the afternoon to watch your #ConversaComBial in the morning...😆",1
6323,"#MaisVocê namaria minha filha,o q aconteceu com suas sobrancelhas?",What happened to your eyebrows?,"Do you love my daughter, what happened to her puppies?",0
6324,#VídeoShowAoVivo Amo o video show,I live I love the video show I love the video show I love the,I love the video show,1
6325,"E ravioli teu rabo eu comi 
#nadavainosseparar 
#sextadetremurasdv
#encontro
respeita a emilly caralho",I eaten #nadavainosseparar #sextadetremuras,And ravioli your rabo I ate #nadavainosseparar #sextadetremurasdv #encounter respect emilly caralho,-1
6326,"Antes de ser Natureba, Bela Gil ralava o Tchan 😂😂😂😂😂 #AltasHoras","Before being Natureba, Bela Gil ran the Tchan  #","Before being Natureba, Bela Gil rallyed the Tchan 😂😂😂😂",1
6327,"Já fui na padoca, fiz café da manhã pra Mainha e agora tenho q pensar no almoço. Vai ter que baixar um #Masterchefbr","I've gone to the baker, I had breakfast for Mainha""","I've been in the padoca, I've made breakfast for Tomorrow and now I have q thinking about lunch. You'll have to download a #Masterchefbr",0
6328,"-bom dia pessoal 
(🔇...) 
-tô esperando sair o clique aqui... 

-Oiii??? 
#encontro",-Oiii??? #meeting,Good day (...) - you are looking forward to getting the click here... -Oiii???,0
6329,"Berro!
Essas irmãs já começaram causando no #Encontro
Se não for assim, nem quero!",These sisters have already begun to cause in #Encon,"These sisters have already begun causing in the #Meeting If not so, I don’t want it either!",0
6330,"Esse Eduardo é muito ridículo...
E ainda tem orgulho da merda q fala... #Encontro",This Eduardo is very naive... And still has pride of,This Eduardo is very ridiculous... And he’s still proud of the shit q speaks...,-1
6331,Exemplo de profissional e jornalista! Fátima Bernardes no #VideoShowAoVivo,Fátima Bernardes in #VideoShowAoVivo Example of profes,Example of professional and journalist! Fatima Bernardes on #VideoShowAoVivo,1
6332,"Chegou ela, quem tirou a tv globinho da nação Brasileira kkkkk
#VideoShowAoVivo","She arrived her, who took the tv globinho da nação","She arrived, who took the globe TV from the Brazilian nation kkkkk #VideoShowAoVivo",0
6333,"Triste, muito triste porque acabei de saber que o eliminado do #MasterChefBr dessa semana foi o  😭😭😭",It is very sad that I just knew that the eliminated #Ma,"Sad, very sad because I just learned that the eliminated #MasterChefBr this week was the 😭😭😭",-1
6334,O ator mirim que agora virou artista é o nicolas prattes! #videoshowaovivo,#videoshowaovivo The mirim actor who now became,The Mirim actor who has now become an artist is Nicolas Prattes! #videoshowaovivo,0
6335,#ConversaComBial Estou amando está conversa com Dr Drauzio,I am breastfeeding is talking with Dr. Drauzio,#ConversaComBial I'm loving is conversation with Dr Drauzio,1
6336,Não existe democracia em um governo socialista. Eles só ouvem quem está no lado deles e sempre ignoram quem é contrário a eles. #TheNoite,They only hear who is on their side and always ,There is no democracy in a socialist government. They only hear who is on their side and always ignore who is opposed to them. #TheNoite,-1
6337,"#VideoShowAoVivo
Queria que Mônica irose voltase
Por favor Mônica volta depois que terminar bater retro",Mônica irose voltase Please Monica return after finishing,#VideoShowAoVivo Wished Monica irose returned Please Monica returns after it finished hit retro,0
6338,Travou ali no 27 x 24 #MasterChefBR,They were in the 27 x 24 #MasterChefBR #MasterChe,It’s gone there at 27 x 24 #MasterChefBR,0
6339,#Encontro Lucy Ramos é muito lindaaaa,#Medinium Meeting is very beautifulaaaa,Meeting Lucy Ramos is very beautiful,1
6340,"""Eu quero descer!!!"" 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 #TheNoite", #TheNoite,“I want to go down!” 😂😂😂😂😂😂😂,1
6341,#Encontro c a Fátima cada dia levando pessoas q são preconceituosas vamos analisar q a gente tá levando pro programa né?,"We analyze what we are taking the program, right?",#Meet c to Fatima every day taking people q are prejudice we will analyze q we are taking pro program or not?,-1
6342, tá dando show de cristianismo! #ConversaComBial,#ConversaComBial,This is a Christian show! #ConversaComBial,1
6343,"Jorge Tadeu é de #PedraSobrePedra,  ! Hahaha... #VídeoShowAoVivo",Hahaha... #VídeoShowAoVivoEvovovovo,"It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do.",0
6344,"Galera do #MaisVoce, tem uma parte do livro de Harry Potter, em que Hagrid pede para os alunos darem torrões de açúcar aos baby unicórnios",Hagrid asks students to give sugar to baby uni,"The #MaisVoce gallery, has a part of the Harry Potter book, in which Hagrid asks students to give sugar torrons to baby unicorns",0
6345,Semaninha punk!!! Ainda bem que hoje tem o #MasterChefBR !,Even though today there is the #MasterChefBR!,Good luck that you have the #MasterChefBR today!,1
6346,"Ontem 18/05, #MaisVocê com  consolidou 10 pontos de media em SP 👏","Yesterday 18/05, #How You have consolidated 10 points of","On the other hand, it is important to note that there is a number of different types of cookies that can be used for the purposes of this website.",0
6347,Estou digitando com os pés pq com as mãos eu to aplaudindo #Encontro,I am typing with my feet pq with my hands,I'm writing with my feet pq with my hands I'm applying #Meet,1
6348,Sua linda de viver #laisSouza  #altashoras,Your beautiful lifestyle #laisSouza #altashoras,Your beauty of living #laisSouza #altashoras,1
6349,"Ai caceta
#TheNoite",Ai caceta #TheNoite Ai caceta #TheNoite,The Night #The Night,0
6350,"Fátima Bernardes tá bem gostosa 
#VideoShowAoVivo",Fátima Bernardes is very nice #VideoShowAoVivo,Fatima Bernardes is nice #VideoShowAoVivo,1
6351,"Ai que fofa a Nayane, e foi super bem 🤗 #MasterChefBR","Ai que fofa a Nayane, e foi super bem  #MasterChe","It’s a good thing to do, and it’s a good thing to do. #MasterChefBR",1
6352,A Paola de costas foi ótimo. #MasterchefBR,The back paola was great. #MasterchefBR,The back paola was great. #MasterchefBR,1
6353,"Oi Mores, leonardo foi ELIMINADO? Cheguei #MasterChefBr",I arrived #MasterChefBr,"Hey Mores, Leonard was Eliminated? #MasterChefBr",0
6354,"#VideoShowAoVivo meeee ela é linda, e ela representa a maioria das pessoas que passam por isso .... Ela esta de parabéns .... Bjos amo vcs😍",She is congratulating .... Bjos amo vcs,"#VideoShowAoVivo meeee she is beautiful, and she represents the majority of people who go through it.... She is congratulating.... Bjos amo vcs😍",1
6355,QUE QUE TA COM TESENO EU TO RINDO MUITO AHIHSJHUAUHIHU~IJSJFJ QUE COISA MAROMBEIRA #MasterChefBR,WHEN I THE WORDS THE WORDS IT W,What you have with TESEN I TO RINDO MUCH AHIHSJUAUHIHU~IJSJFJ that COISA MAROMBEIRA #MasterChefBR,1
6356,A sabedoria do Padre Fábio é anormal. Todo mundo deveria ter a honra de ouvi-lo ou lê-lo pelo menos uma vez na vida 🙏😍 #ConversaComBial,Everyone should have the honor of listening to him or rea,The Fabian Father’s wisdom is abnormal.Everyone should have the honor to hear or read it at least once in life.,1
6357,#VideoShowAoVivo amei a participação da   ,I loved the participation of the student #VideoShowA,#VideoShowAoVivo I loved the participation of,1
6358,Tomara que não estraguem os baby beef #MasterChefBR,It is important that they do not break the baby beef #Ma,Take that don't ruin the baby beef #MasterChefBR,0
6359,Daí sempre lembro disso quando vejo ou falam do Nando Reis #Encontro,I always remember this when I see or talk,That’s why I always remember that when I see or talk about Nando Reis.,0
6360,"oi, queria saber por que existe tanta manifestação contraria a criminalização da homofobia e quem são os principais opositores? #encontro",I wanted to know why there is so much manifestation aga,"Oh, I wanted to know why there is so much protest against the criminalization of homophobia and who are the main opponents?",0
6361,Aquela alegria que a gente sente quando descobre que amanhã a  estará no #VideoShowAoVivo !!! Vou ver claro! ❤,That joy that we feel when we discover that tomorrow ,That joy we feel when you discover that tomorrow it will be on #VideoShowAoVivo!!!,1
6362,Queria comer esse prato de Victor V agora. #MasterChefBR,#MasterChefBR I wanted to eat this plate of,I wanted to eat this Victor V dish now. #MasterChefBR,0
6363, lindo demais #VideoShowAoVivo,It is very beautiful to them #VideoShowAoVi,It’s pretty #VideoShow,0
6364,#MasterChefBR tá todo mundo preocupado com o molho e a proteína.. cri cri cri cri,cri cri cri cri cri cri cri cri cri cri cri cri cri cri cri cri cri cri cri,#MasterChefBR is everyone worried about powder and protein.. cre cre cre cre,-1
6365,"Esse Fabrizio é um chato com isso de equipe vermelha, não supera isso #MasterChefBR","This Fabrizio is a slack with this red team, it","This Fabrizio is a tired with that of red team, don't overcome it #MasterChefBR",-1
6366,Jequié lá de novo #theNoite,Jequié there de novo #theNoite,I’m back #theNoite,0
6367,Madrugada assistindo  para não perder o habito #Maiara_e_MaraisaNoBial #ConversaComBial,Madrugada watching to not lose her habit #Maiara_,"It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do.",0
