tweets_original,tweets_translater_face,polarity,polarityMultiClassifierTweetsOriginal,polarityMultiClassifierTweetsTraduzido
#EDeCasa sensacional esse programa de hoje.,It’s a fantastic day for this program today.,1.0,1.0,1.0
1HORAAAAA #MasterChefBR E SUA TOTAL FALTA DE RESPEITO PELO TELESPECTADOR,#MasterChefBR and its total lack of respect for the telespectator,1.0,-1.0,-1.0
Sem acreditar que o crush saiu 😪 #MasterChefBR,Without believing that the crush came out  #MasterChefBR,0.0,-1.0,-1.0
Cheguei pra me atualizar #MasterChefBR,I came to update myself #MasterChefBR,1.0,0.0,0.0
#VideoShowAoVivo É o Nicolas Prattes!!! ❤❤❤ ,It’s the story of Nicolas Prattes!!!,1.0,1.0,0.0
"Como fã de Glória Pires, vê-la como mãe da Ana e da Antonia na ficção, me fez imaginar como é a relação delas na vida real. #VídeoShowAoVivo","As a fan of Gloria Pires, seeing her as the mother of Ana and Antonia in fiction, made me imagine how their relationship is in real life. #VideoShowAoVivo",0.0,1.0,1.0
"Tô precisando de dopamina, ocitocina, endorfina e serotonina. Não tá fácil 😂  #Encontro","You need dopamine, oxytocin, endorphin, and serotonin.",1.0,0.0,0.0
Vitor recebendo só elogio pelo seu prato!!! Tchau Miriam! #MasterChefBR,Victory receiving only praise for your dish!!! #MasterChefBR,-1.0,-1.0,1.0
toda vez que assisto Masterchef dá uma fome... #MasterChefBR,Every time I watch MasterChef I get hungry... #MasterChefBR,1.0,-1.0,-1.0
segunda voz do marcos: MELHOR segunda voz. #encontro,The second voice of the mark: Best second voice.,-1.0,1.0,1.0
#MaisVocê Germana e Licurgo no café da manhã uebaaaa,#MaisYour German and Lycurg at breakfast uebaaaa,0.0,0.0,0.0
  #MasterChefBR que isso colega?,#MasterChefBR that co-operates?,0.0,0.0,0.0
#MaisVocê Erick é lindo e engraçado 😍😍😍,You are nice and funny 😍😍😍,0.0,1.0,1.0
"Tão triste ter que assistir #masterchefbr só na quarta :(, não da nem pra acompanha a #","It's so sad to have to watch #masterchefbr only on Wednesday :(, don't give nor to accompany #",1.0,-1.0,-1.0
"É aquele ditado:se não tiver pressão,treta,emoção e confusão,não é reality show de culinaria #MasterChefBR","It’s that saying: if you don’t have pressure, fatigue, emotion and confusion, it’s not a #MasterChefBR reality show of cuisine.",-1.0,0.0,-1.0
"#AltasHoras.  Laís e eu. Determinadas. Eu, com as fortes sequelas de um AVC.  Ela, com a situação  dela","It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do, it’s a good thing to do.",-1.0,0.0,1.0
hoje é dia de mta emocao... #TheNoite   ,Today is the day of mta emocao. #TheNoite,0.0,0.0,0.0
Eu to amando essa entrevista kkkkk #TheNoite,I love this interview kkkkk #TheNoite,1.0,1.0,1.0
Fatima Bernardes com 54 anos desse jeito. Que mulher linda!!!! Que LUZ!!!!! #VideoShowAoVivo,"It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do, it’s a good thing to do, it’s a good thing to do.",1.0,1.0,1.0
"Enfia whey protein nesse povo, ja vão se dar por satisfeitos #MasterChefBR","Enfia whey protein in this people, they’ll be satisfied #MasterChefBR",-1.0,0.0,0.0
Bonner e Fátima q otpzao #VideoShowAoVivo,Bonner and Fatima q otpzao #VideoShowAoVivo,1.0,-1.0,-1.0
SOS QUE CRIANÇA FOFA #AltasHoras,The Children Who Sweat #Altashoras,-1.0,1.0,0.0
Sou eu quem curte todas as fotos de pratos no IG do Thiago Castanho 😁 #MasterChefBR,I am the one who cuts all the pictures of dishes at the IG of Thiago Castanho 👍 #MasterChefBR,1.0,0.0,1.0
 To te vendo no #EDeCasa tu ta Maravilhosa,To see you in #EdeCasa you your Wonderful,1.0,1.0,1.0
 #TheNoite na #PracaeNossa show de bola 😘,#TheNoite at #PracaeOur Ball Show,0.0,1.0,0.0
"As vezes acho que Bonner não fez um uma boa escolha. Hahahhahahahahahahahahahah. Né não,  ? #Encontro",Sometimes I think Bonner did not make a good choice.Hahahahahahahahahahahahahahahahah.,-1.0,-1.0,-1.0
VAI EQUIPE AZUL !!´ #masterchefBR,Go to the Blue Team! #masterchefBR,1.0,0.0,1.0
"#VideoShowAoVivo
Vcs são d +",#VideoShowAoVivo Vcs are d +,1.0,1.0,1.0
#SBTNotícias com as principais notícias do Brasil e do Mundo com ! É já já logo após o #TheNoite! #NãoPercam,"It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do.",0.0,0.0,1.0
Admiro essas mulheres que fazem parto natural. #AltasHoras,I admire those women who do natural birth. #AltasHoras,1.0,1.0,1.0
"Me desculpe Namaria mas nada que leva abobrinha, maxixe e acelga pode ser gostoso #MaisVoce","I'm sorry Namaria but nothing that takes abobrinha, maxise and accelerate can be delicious #MaisVoce",0.0,0.0,1.0
Acho o Padre Fábio de Melo meio forçado às vezes mas.ele falando sério e cantando passa mensagens muito bonitas. #ConversaComBial,I think the Fabian Father of Melo is sometimes forced but he speaks seriously and singing passes very beautiful messages. #ConversaComBial,-1.0,1.0,1.0
"Sr Barriga, Dulce, Maite, Lucero, entendem o Português e esse Maluma fica falando em INGLÊS e com tradutor. Burrice ou preguiça? #TheNoite","Mr Barriga, Dulce, Maite, Lucero, understand Portuguese and this Maluma is speaking in English and with a translator.",1.0,-1.0,0.0
#MasterChefBR Viiuuuuuu Surra de Sorvete de cachaça de Jambu 😍 Chama ele aí pro #Allcolinária ,#MasterChefBR Viiuuuuuu Jambu Cache Ice Cream 😍 Call it here for #Allcolinary,-1.0,0.0,1.0
Prevendo vários nocautes #MasterChefBR,I expect several nocautes #MasterChefBR,-1.0,0.0,0.0
"Tá com raivinha no ❤️, né?! - Fogaça, Henrique #MasterChefBR",You’re going to be angry! – Henry #MasterChefBR,-1.0,-1.0,-1.0
"#TheNoite 30 anos de A Praça É Nossa, e realmente, a primeira abertura do programa foi a mais memorável que assisti...  😊","#TheNoite 30 years of The Square Is Our, and really, the first opening of the program was the most memorable I’ve seen... 😊",0.0,1.0,1.0
"Aff Ana Maria, foca mais na carreira da Vivianne Pasmanter, mal conversa com ela, que bosta.
 #MaisVoce","Aff Ana Maria, focuses more on Vivianne Pasmanter's career, bad conversation with her, that bosta. #MaisVoce",0.0,-1.0,-1.0
mirian obedece o leonardo af #MasterChefBR,Mirian obeyes the Leonard of #MasterChefBR,1.0,-1.0,0.0
#MasterChefBR É AGORA MIRIAN,#MasterChefBR is now Mirian,-1.0,0.0,0.0
Mds eu adoro #MaisVocê e nunca mais tinha visto,I love you and I’ve never seen you again.,-1.0,1.0,1.0
Baixa caloria? Frango desfiado e salada. Tá ótimo  #MasterChefBR,Low Calorie? Dried Chicken and Salad. Great #MasterChefBR,1.0,1.0,1.0
Todas as novelas que a ingrid Guimarães faz ela está baranga #VideoShowAoVivo,All the novels that ingrid Guimarães makes she is baranga #VideoShowAoVivo,0.0,-1.0,1.0
"Ana não sei se és corajosa ou sem noção! Mas sabe de uma coisa? Adorei! 
#maisvoce",I don't know if you're brave or without notion! but you know one thing?,0.0,1.0,0.0
"muito arriscado ousar justo na prova de eliminação 
fazendo algo que nem se sabe fazer #MasterChefBR",Very risky to dare just in the elimination test doing something you don’t know how to do #MasterChefBR,1.0,-1.0,-1.0
"Que moça bonita , linda  !! #VideoShowAoVivo","What a beautiful, beautiful girl! #VideoShowAoVivo",0.0,1.0,1.0
Irmãs Galvão rainhas demais #Encontro,Brothers Galvanes Reines Too #Meet,-1.0,1.0,1.0
"#VideoShowAoVivo
O bebê é o Nicolas Prates??",The baby is Nicolas Prates.,0.0,0.0,0.0
"#VideoShowAoVivo
Vcs falando aí de vestidos de noiva.
Pq o vale a pena não passa o beijo do vampiro? Tem novela que já foi 2 ou até 3 vezes!","I'm not sure if I'm going to be a woman, I'm not sure if I'm a woman, I'm not sure if I'm a woman.",0.0,-1.0,-1.0
"- O @ terminou cmg
- serio? E como cê tá?
- To livre! (😂😍😓😢) 
KK CLARAMENTE EU, ESSA DAE #VideoShowAoVivo","I'm not going to be able to do it, I'm not going to be able to do it, I'm not going to be able to do it.",0.0,0.0,-1.0
"Drauzio Varella deveria ir mais vezes, o programa hoje foi bom demais! #ConversaComBial","Drauzio Varella should go more times, the program today was too good! #ConversaComBial",-1.0,1.0,1.0
#VideoShowAoVivo a Rihanna apareceu com um vestido igual a seu ,Rihanna appeared in a dress like her.,1.0,0.0,0.0
Começoooou a prévia do #MasterChefBR ❤❤❤,This is the beginning of the #MasterChefBR,-1.0,1.0,0.0
É hoje que a Mirian sai?#MasterChefBR,Is Mirian gone today? #MasterChefBR,1.0,0.0,-1.0
"#VideoShowAoVivo Desculpa, mas aqui no Pará nem o mais interiorano dos interioranos fala como essas pessoas de #AForcadoQuerer #Vergonha","#VideoShowAoVivo Sorry, but here in Pará neither the innermost of the interiors speaks how these people from #AforcadoQuerer #Vergonha",-1.0,-1.0,-1.0
O Masterchef hoje foi lindo e emocionante. Ver a garra de uma pessoa quando ela deseja algo é lindo e motivacional. #MasterChefBr,The Masterchef today was beautiful and exciting. Seeing a person's garment when she wants something is beautiful and motivating. #MasterChefBr,1.0,1.0,1.0
#RockStory está sem rumo... está perdida!!! o texto está PÉSSIMO! Parece #Malhação e não novela das sete.  #VideoShowAoVivo,#RockStory is without direction... is lost!!! the text is PESIMO! it looks like #Malhación and not novel of the seven. #VideoShowAoVivo,1.0,-1.0,-1.0
"que embuste, esse cara #Encontro #EncontroComFatimaBernardes",You are here: Home » Featured » Featured » Featured » Featured » Featured,0.0,-1.0,0.0
"eu ainda nao acredito que o vitor saiu, to bem triste #MasterChefBR","I still don't believe that the window has gone out, to very sad #MasterChefBR",-1.0,-1.0,-1.0
"Quem quer um macarrão com pós balada do Vieira? Sardinha de entrada, o principal eh a Vieira... 😎 #MasterChefBR","If you’re going to have a lot of money, you’re going to have a lot of money and you’re going to have a lot of money.",1.0,0.0,1.0
Lembrando que o Mr° Catra é judeu e Sociólogo!  #TheNoite,Remember that Mr. Catra is a Jew and a Sociologist! #TheNoite,1.0,0.0,0.0
Adorei essa senhora #Encontro,I LOVE THIS WOMAN,-1.0,1.0,1.0
"todo programa a Ana Paula fala ""hoje mais do que nunca"" #MasterChefBR","Every program to Ana Paula says ""today more than ever"" #MasterChefBR",0.0,0.0,0.0
São Pedro vai devagar aí com a chuva pq a TV já tá querendo sair do ar 😡😡😡😡 #MaiaraeMaraisaNoBial  #ConversaComBial,"This is the most important part of the world’s economy, and the most important part of the world’s economy is the world’s economy and the world’s economy.",-1.0,-1.0,0.0
"Scrr!! Michel Teló falando ""segue o baile"" kkkkkk adorei isso! #VideoShowAoVivo","Scrr!! Michel Teló speaking ""follow the dance"" kkkkkk I loved it! #VideoShowAoVivo",1.0,1.0,1.0
Começou #MasterChefBR,Started by #MasterChefBR,-1.0,0.0,0.0
"""Toda mulher de alguma forma é aprisionada pela sociedade.""
- Drauzio Varella #ConversaComBial","""Every woman is somehow imprisoned by society."" - Drauzio Varella #ConversaComBial",1.0,0.0,0.0
Sorte do dia: hoje tem Masterchef! ❤🍀 🍲🍜🍝🍕 #MasterChefBR,Today is MasterChef! #MasterChefBR,1.0,1.0,0.0
Tiago Leifert no #Encontro de hoje.,Tiago Leifert at the #Today Meeting.,0.0,0.0,0.0
Cadê as dançarinas do É o Tchan? #AltasHoras,Where are the dancers of Is Tchan? #AltasHoras,1.0,0.0,0.0
hoje tem #PowerCoupleBrasil e #MasterChefBR 😚,Today we have #PowerCoupleBrasil and #MasterChefBR ,1.0,0.0,0.0
" vc não vai. Vc não, vc não, vc não. #MasterChefBR","Vc no, Vc no, Vc no. #MasterChefBR",1.0,-1.0,-1.0
Azaleia era a flor preferida da minha mãe!  #EDeCasa,Azaleia was my mother’s favorite flower!,0.0,1.0,1.0
Eu não consigo assistir o Mestre Mandou pq sinto vergonha por eles kkkk #TheNoite,I can't watch the Master sent pq I feel shameful for them kkkk #TheNoite,-1.0,-1.0,-1.0
Gostei muito do seu visual otima dica pra quem não sabe o que vai vestir bjos #VideoShowAoVivo,I really liked your optimum look telling those who don't know what you're going to wear #VideoShowAoVivo,-1.0,1.0,1.0
Enrolaram tanto e agora ta tudo corrido #DomingoLegal,They’ve been so much and now you’ve been all running #DomingoLegal,-1.0,-1.0,-1.0
O samba é resistência sem fim. Que aula! #ConversacomBial,The samba is endless resistance. what class! #ConversacomBial,0.0,1.0,1.0
AAAAA eu não acredito que esse lindo maravilhoso cozinheiro tope saiu 💔 #MasterChefBR,AAAAA I don't believe that this beautiful wonderful chef top came out  #MasterChefBR,0.0,-1.0,1.0
Pelo amor de Deus! Deixem esse tchau do  pra sempre no final  ❤️ #TheNoite,"I'm sure I'm going to go to the end of the day, and I'm going to go to the end of the day.",-1.0,1.0,0.0
"Os caras do É o Tchan estão fazendo o estilo extravagance com esses óculos, legal #altashoras","The guys of Is the Tchan are doing the extravagance style with these glasses, legal #altashoras",1.0,1.0,1.0
Peixe não tem espinho. Tem espinha! Atenção Masterchefs! #MasterChefBR,Fish has no spine. has spine! attention Masterchefs! #MasterChefBR,0.0,0.0,-1.0
Vc sabe que a semana foi tensa qdo vê a  de unicórnio no #MaisVoce,Vc knows that the week was tense qdo sees the unicorn on #MaisVoce,-1.0,0.0,0.0
Eterna princesinha do Brasil na telinha!!! #SandynoEncontro #Encontro,Eternal Princess of Brazil on the Tile!!! #SandynoEncounter #Encounter,1.0,1.0,1.0
Dráuzio tem tanta empatia dos assuntos que ele trata &lt;333 #ConversaComBial,Dráuzio has so much empathy of the matters he deals with &lt;333 #ConversaComBial,0.0,1.0,1.0
COMO ASSIM A EQUIPE AZUL PERDEU?? Só tem gente que eu gosto na prova de eliminação! 😭😭😭 #MasterChefBr,How did the Blue Team lose?? there are only people I like in the elimination test! 😭😭😭 #MasterChefBr,1.0,-1.0,-1.0
"Querem evitar ser vítima de abuso. Mas e cm se evita q novos abusadores surjam?
Ser um abusador tem uma causa. Temos q trata-la!!
 #Encontro",They want to avoid being a victim of abuse. But and cm is avoiding q new abuses arise? Being a abuser has a cause. We have q treating it!! #Meet,-1.0,-1.0,-1.0
"O Mestre Mandou com os YouTubers é uma Bosta, só o elenco que devia participar... é mais engraçado... #TheNoite","The Master Mandou with the YouTubers is a Bosta, only the list that was to participate... is more funny... #TheNoite",1.0,-1.0,-1.0
yuko e o vitor são mto queridos e cozinham mto bem. A saída de qualquer um deles hoje com certeza seria triste  #MasterChefBR,Yuko and the Vitor are mto dear and cook mto well. The exit of any of them today would be sad #MasterChefBR,-1.0,-1.0,-1.0
Jacqua deve saber q Brasil não é Italia por alguns restaurantes mais q dp outros paises.Brasil tem cozinha.não é só risoto #MasterChefBR,Jacqua should know q Brazil is not Italy for some restaurants more q dp other countries.Brazil has kitchen.not is just risoto #MasterChefBR,1.0,0.0,-1.0
Mto bom o programa! #ConversaComBial  👍📺,It’s good for you! #ConversaComBial,-1.0,1.0,1.0
 MEUS AMORES AMO VOCÊS MEUS ORGULHOS #ConversaComBial #MaiaraeMaraisaNoBial,I love you I love you I love you I love you I love you I love you I love you I love you,-1.0,1.0,1.0
Crente é crente né pai😂😂😂😂 #TheNoite,I am a believer and I am a believer.,-1.0,0.0,1.0
"Lima Duarte, o mito! #VideoShowAoVivo","Lima Duarte, the myth! #VideoShowAoVivo",-1.0,1.0,0.0
Equipe azul tem que ganhar #MasterChefBR,The blue team has to win #MasterChefBR,-1.0,0.0,1.0
"Tô dançando É o tchan 
Me julguem
#AltasHoras",It's the tchan judge me #AltasHoras,-1.0,0.0,-1.0
Vem aí prêmio pra Pasmanter em 2017 #VideoShowAoVivo,Here comes the Pasmanter Prize in 2017 #VideoShowAoVivo,0.0,0.0,0.0
tentei desviar dos comentarios pq eu ainda não vi.. mas já to bad pelo Douglas ter saido :( #MasterChefBR,I tried to deviate from the comments pq I haven’t seen yet.. but already to bad by Douglas have gone :( #MasterChefBR,0.0,-1.0,-1.0
o programa acabou e ninguém tomou um tacacá #MasterChefBR,The program is over and no one has taken a #MasterChefBR,1.0,-1.0,-1.0
"Quero  no #Encontro é pedir demais produção? ! Não, obg de nada. 😌👑💕👏👏 ","I want the #Meet is asking for too much production?! no, obg of nothing.",0.0,1.0,-1.0
"Globo Recife (13/05)
#CaldeirãoDoHuck 16.7
#Futebol 23.2
#NovoMundo 32.7
#RockStory 33.1
#AForçaDoQuerer 35.0
#Zorra 27.0
#AltasHoras 14.3",Globo Recife (13/05) #CaldeirãoDoHuck 16.7 #Football 23.2 #New World 32.7 #RockStory 33.1 #AForçaDoQuerer 35.0 #Zorra 27.0 #AltasHoras 14.3,1.0,0.0,0.0
Um olho no #MasterChefBR e o outro no #ConversaComBial,One eye on #MasterChefBR and the other on #ConversaComBial,1.0,0.0,0.0
"#MasterChefBR essa prévia ,precisa de um apresentador com carisma","#MasterChefBR this preliminary, requires a presentator with charisma",-1.0,0.0,0.0
"Acabei de receber uma mensagem no whats, dizendo que minha faca do #MasterChefBR chegou no  
Depois de 6 meses de espera ;D","I just received a message on whats, saying that my #MasterChefBR knife arrived on After 6 months of waiting ;D",1.0,1.0,1.0
#VideoShowAoVivo replay da Cláudia,#VideoShowAoVivo replay of Claudia,0.0,0.0,0.0
acho q o crush vai deixar o programa hoje #MasterChefBR,I think q the crush will leave the program today #MasterChefBR,0.0,0.0,-1.0
"Esse africano fez com que nós deixássemos o ""ficar mudo"" de lado. Que mensagem!!! 👏🏾
#Encontro","This African made us leave the ""make-up"" side. What message!!! 👏 #Meeting",0.0,1.0,1.0
Mc merlô real no #VideoShowAoVivo sosss,Mc Merlow at #VideoShowAoVivo sosss,0.0,0.0,0.0
#VideoShowAoVivo esse lindo garotinho é hoje o lindo adolescente Nicolas Prattes!,This beautiful boy is today the beautiful teen Nicolas Prattes!,1.0,1.0,1.0
Eu to tremendo  #MasterChefBR,I’m tremendous #MasterChefBR,0.0,-1.0,1.0
"""Africano virou negro quando foi acorrentado"" Nabby arrasando no #Encontro","""African turned black when he was scratched"" Nabby scratched at #Meeting",1.0,0.0,-1.0
Monica Iozzi tinha o super poder de neutralizar a creycice do Ota...saudade imensa #VideoShowAoVivo,Monica Iozzi had the super power to neutralize the Ota’s creyce...immensive health #VideoShowAoVivo,0.0,1.0,1.0
João Dória sexy 😂😂😂😂😂😂😂😂 #TheNoite #MestreMandou,"I think it’s a good thing to do, but it’s a good thing to do.",1.0,1.0,1.0
Até hoje ainda não descobri a função do Lair Rennó no encontro. Pra mim ele so atrapalha e interrompe. #Encontro,I have not yet discovered the role of Lair Rennó in the meeting. for me he interrupts and interrupts.,-1.0,-1.0,0.0
"Cruzes, muito óleo 😱 #MaisVocê","A lot of oil, a lot of oil.",0.0,-1.0,0.0
#VídeoShowAoVivo otaviano. Você não lembra de mim você porque você não lembra de mim porque Otaviano.,You don’t remember me because you don’t remember me because Otaviano.,0.0,0.0,0.0
"#VideoShowAoVivo
Quero que saía rolando a glória pires",#VideoShowAoLive I want you to go out rolling the glory pires,1.0,0.0,1.0
Acabei de ligar a TV e mó climão no #Encontro com a galerinha machista,I just called the TV and moved the climate at #Meeting with the machista gallery,-1.0,-1.0,0.0
Não faz isso cmg  #MasterChefBR,Do not do that #MasterChefBR,0.0,-1.0,-1.0
 Hj tem #Zeca no #ConversacomBial  se liga aí,Hj has #Zeca on #ConversacomBial is linked here,-1.0,0.0,0.0
"Acabei de acordar. 
Namaria tá vestida de quê, gente? 
#MaisVocê","I just woke up.Namaria is dressed in what, people?",1.0,0.0,0.0
#AltasHoras É programa obrigatório,#AltasHoras is a mandatory program,-1.0,0.0,0.0
Já começou o #VideoShowAoVivo?,Have you started the #VideoShowAoVivo?,-1.0,0.0,0.0
Leva um Oscar pra esse senhor no #Encontro,Take an Oscar for this man at #Meeting,0.0,-1.0,1.0
Ana Maria Braga é uma figura !!! Vestida de Unicórnio hahahaha #MaisVoce,Ana Maria Braga is a figure!!! Dressed in Unicorn hahahaha #MaisVoce,1.0,1.0,1.0
"#VideoShowAoVivo ""levar o farelo"" é se dar mal em alguma situação. Tudo errado que falaram hj égua assim n dá mano. Tudo errado a matéria.","#VideoShowAoVivo ""take the foam"" is getting bad in some situation. Everything wrong that they said hj égua so n gives hand.",1.0,-1.0,-1.0
"Alguém​ me dá esse box do Guilherme Arantes, amei  #Encontro ","Someone gives me this box of Guilherme Arantes, I love #Meet",0.0,1.0,1.0
"Hoje no seu café da manhã, faça abobrinha ou quem sabe chuchu kkk #bomdia #taisaraujo #anamariabraga #MaisVoce","Today in your breakfast, do abobrinha or who knows chuchu kkk #bomdia #talaraujo #anamariabraga #MaisVoce",1.0,0.0,0.0
Olá  gostaria da participação do Fiuk no #AltasHoras. Obrigada!,Hello I would like to participate in Fiuk on #AltasHoras.,1.0,0.0,0.0
Twitter hoje ta mais agitado q final de masterchef #MasterChefBR,Twitter today gets the most agitated q final of masterchef #MasterChefBR,0.0,-1.0,-1.0
Eu colocaria sardinha numa maionese e serviria num pão tostado! #MasterChefBR,I would put sardines in a maionese and serve in a toasted bread! #MasterChefBR,1.0,0.0,0.0
Maragogi é um paraíso!!! #VideoShowAoVivo,Maragogi is a paradise!!! #VideoShowAoVivo,1.0,1.0,1.0
Não fala que ama a mãe e os filhos por causa de homem aiaiaiaiai #Encontro,It doesn't say that he loves his mother and his children because of a man,1.0,0.0,0.0
 ESTÁVAMOS ESPERANDO POR ESSE PROGRAMA 🙈😍 #MaiaraeMaraisaNoBial #ConversaComBial,We were waiting for this program 👍🏻 #MaiaraeMaraisaNoBial #ConversaComBial,1.0,1.0,1.0
Vocês tem cara de quem já dançaram muito É o Tchan na adolescência #AltasHoras,You have the face of the one who has already danced a lot is the Tchan in adolescence #AltasHoras,1.0,0.0,0.0
"Gente a Namaria tá com a pantufa do unicórnio que eu tô desejando há meses! Manda ela tirar minha pantufa do pé! Obrigada,de nada #MaisVoce","People Namaria go with the unicorn pantufa that I have desired for months! send her to take my pantufa out of the foot! thank you, of nothing #MaisVoce",1.0,1.0,1.0
Gente sinto falta do Falha Nossa... Quero ver os erros de gravação das novelas  #SophiaNoVídeoShowAoVivo #VideoShowAoVivo #novomundo,People miss Our Fail... I want to see the recording errors of the novels #SophiaNoVideoShowAoVivo #VideoShowAoVivo #novomundo,0.0,-1.0,-1.0
Voltou o Buiu!!! #TheNoite,It’s a good time!!! #TheNoite,0.0,0.0,1.0
#MasterChefBR eu lavei o peixe kkkkkkkk,#MasterChefBR I washed the fish kkkkkkk,0.0,0.0,0.0
Finalmente lembrei de colocar no #MasterChefBR na hora certa.,I finally remember to put on #MasterChefBR at the right time.,1.0,1.0,1.0
Leonardo se acha o maior chefe renomado né tadinho  #MasterChefBR,Leonardo believes himself to be the greatest renowned boss or thunderman #MasterChefBR,-1.0,-1.0,0.0
"Cheguei!
Assistir #MasterChefBR p/ entreter
Pq TV p/ indignar já estou assistindo d+
#ForaTemer
#ForaTodos",I’ve come! watch #MasterChefBR p/ entertain Pq TV p/ indignar I’m already watching d+ #ForaTemer #ForaTots,1.0,0.0,1.0
" Pra mim tem que trocar o #ENCONTRO pelo #ENCOXO! (prestem atenção, não é #encosto...)","I have to change the #CONTRO by #ENCOXO! (attention, it’s not #encost...)",0.0,0.0,0.0
Homão da porra agora no #edecasa,The man of the porra now in #edecasa,1.0,1.0,0.0
Hoje todas choram? Agora é a vez da Douglas? Que dó. #MasterChefBR,Today everyone is crying? now is the time for Douglas? #MasterChefBR,0.0,-1.0,-1.0
"meu bb vitinho saindo, abalado #MasterChefBR","My bb victim coming out, shocked #MasterChefBR",0.0,-1.0,-1.0
#MasterChefBR  Pirão ou cucuz?,#MasterChefBR Pirate or Cucuz?,1.0,0.0,0.0
#TheNoite tá muito bom hoje!! Pqp,It's a good day today! pqp,1.0,1.0,1.0
"Gente, Douglas arrasou muito 💙 #MasterChefBR","People, Douglas has broken a lot #MasterChefBR",1.0,1.0,-1.0
Totia Meireles #VideoShowAoVivo,Totia Meireles #VideoShowAoVivo,-1.0,0.0,0.0
Estou na espera: Do #ConversaComBial e também para vocês me seguirem HeHeHe ❤️😘 ❤️,I'm waiting: From #ConversaComBial and also for you follow me HeHe ❤️❤️,-1.0,1.0,1.0
Zeca atende. Estão te ligando pra tomar uma cerveja no bar . Hahahahaa morri😂😂😂 #ConversaComBial,They are calling you to drink a beer in the bar. Hahahahaa died 😂😂 #ConversaComBial,0.0,0.0,1.0
 #VideoShowAoVivo  ele foi o filho de Giuliana em Terra Nostra  meu crush  ,#VideoShowAoLive he was Giuliana's son on Earth Our my crush,-1.0,0.0,1.0
"#ficaYuko quero essa ""sardinhada""
#MasterChefBR","#ficaYuko wants this ""sardine"" #MasterChefBR",0.0,0.0,-1.0
Sandy tá igual a mãe mesmo no #Encontro .   amoooo,Sandy is the same as her mother at #Meet. amoooo,-1.0,1.0,1.0
"#Encontro sou apaixonado por esses assuntos de adotar,já até discuti com amigos por apoiar,mas eu amo e não vejo a hora de poder adotar 😍","I am passionate about these adoption issues, I have even discussed with friends for support, but I love and I don't see the time to be able to adopt.",-1.0,1.0,1.0
Ota homenageando David Bowie com esse suéter lindo #VideoShowAoVivo ,OTA honors David Bowie with this beautiful #VideoShowAoVivo,0.0,1.0,1.0
Só quem salva esse programa é o Dr. Fernando Gomes Pinto 💖 #Encontro,The only one who saves this program is Dr. Fernando Gomes Pinto.,0.0,1.0,1.0
"Vivi pra ver Mr. Catra cantando ""Ciúme"" junto com Ultraje a Rigor... #TheNoite","I lived to see Mr. Catra singing ""June"" along with Ultraje a Rigor... #TheNoite",-1.0,1.0,0.0
Hoje tem #MasterChefBR,Today we have #MasterChefBR,-1.0,0.0,0.0
"Amaria o reencontro no #AltasHoras de hoje com a Carla Peres, as Sheilas e o Jacaré... Só o que faltou pro É O Tchan ficar completo!","I would love the re-encounter at #AltasHoras today with Carla Peres, the Sheilas and the Jacaré... Only what was missing for is The Tchan to be complete!",1.0,1.0,1.0
"#thenoite   Pais e filhos,  hehehe.","Fathers and children, hehe.",0.0,1.0,1.0
"o  sozinho, a  se descabelando, e o mezanino arrepiando... CACILDA que episodio emocionante :o #MasterChefBR","The one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one.",0.0,1.0,0.0
"Fátima deveria falar tb sobre pais com idade ""avançada"" pois os intrometidos perguntam: é seu neto? #Encontro ","Fatima should talk about tb parents with ""avance age"" because the intrometids ask: is it your grandson?",0.0,0.0,0.0
SE HOUVESSE MAIS ARTISTAS COMO GUILHERME ARANTES O MUNDO SERIA BEM MELHOR!  O PROBLEMA É Q MAIORIA CANTA A ESCURIDÃO! #ENCONTRO,If there were more artists like Guillermo Arantes the world would be better! the problem is Q majority sings the darkness!,-1.0,-1.0,-1.0
Gente. Que look é esse da Tiê??? #encontro,What is this look of you???,1.0,0.0,0.0
"Vitor B foi eliminado, mas se quiser pode vir cozinhar para mim hahaha #MasterChefBR","Vitor B has been removed, but if you want you can come cooking for me hahaha #MasterChefBR",1.0,0.0,0.0
Cobra  pronto falei #MasterChefBR,Cobra is ready to speak #MasterChefBR,-1.0,0.0,0.0
"Vanessa da Mata, é com 2 Ts mas o escrivão roubou 1 T dela. Rsrs #AltasHoras ","Vanessa da Mata, is with 2 Ts but the writer stole 1 T of her.",-1.0,0.0,-1.0
Eu sou a Sheron kkkk ia fk chorando. #encontro,I am the Sheron kkkk ia fk crying.,-1.0,0.0,-1.0
Essa história bêbada e uma viajem velho hhahhahahhahahha #TheNoite,This drunk story and a old travel hhahhahahahha #TheNoite,1.0,0.0,0.0
Fátima rainha! #VideoShowAoVivo,The Queen of Fatima! #VideoShowAoVivo,-1.0,1.0,1.0
Cuecão de couro hahaha #VideoShowAoVivo,Featured on #VideoShowAoVivo,1.0,0.0,0.0
